-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| g                                                                                                                                                     | type                                              |
| <http://www.invista.com/en/inside-invista/global-locations-map.html>                                                                                  | <http://www.w3.org/2006/vcard/ns#Address>         |
| <http://www.sportcom.fr/materiel-de-competition>                                                                                                      | <http://www.w3.org/2006/vcard/ns#VCard>           |
| <http://www.sportcom.fr/materiel-de-competition>                                                                                                      | <http://www.w3.org/2006/vcard/ns#Organization>    |
| <http://www.sportcom.fr/materiel-de-competition>                                                                                                      | <http://www.w3.org/2006/vcard/ns#Address>         |
| <http://www.sportcom.fr/materiel-de-competition>                                                                                                      | <http://www.w3.org/2006/vcard/ns#Name>            |
| <http://fr.nomao.com/12888782.html>                                                                                                                   | <http://schema.org/TouristAttraction>             |
| <http://fr.nomao.com/12888782.html>                                                                                                                   | <http://schema.org/ListItem>                      |
| <http://fr.nomao.com/12888782.html>                                                                                                                   | <http://schema.org/PostalAddress>                 |
| <http://fr.nomao.com/12888782.html>                                                                                                                   | <http://schema.org/BreadcrumbList>                |
| <http://fr.nomao.com/12888782.html>                                                                                                                   | <http://www.w3.org/2006/vcard/ns#Address>         |
| <https://www.pitchup.com/campsites/france/pays-de-la-loire/loire-atlantique/saint-gildas-des-bois/camping-de-langatre/>                               | <http://www.w3.org/2006/vcard/ns#Address>         |
| <https://www.pitchup.com/campsites/france/pays-de-la-loire/loire-atlantique/saint-gildas-des-bois/camping-de-langatre/>                               | <http://www.w3.org/2006/vcard/ns#Location>        |
| <http://patrick.pezier.com/>                                                                                                                          | <http://www.w3.org/2006/vcard/ns#VCard>           |
| <http://patrick.pezier.com/>                                                                                                                          | <http://www.w3.org/2006/vcard/ns#Name>            |
| <http://patrick.pezier.com/>                                                                                                                          | <http://www.w3.org/2006/vcard/ns#Address>         |
| <http://www.tourmapr.com/artist/Taake>                                                                                                                | <http://www.w3.org/2006/vcard/ns#Address>         |
| <http://www.tourmapr.com/artist/Taake>                                                                                                                | <http://www.w3.org/2002/12/cal/icaltzd#vcalendar> |
| <http://www.tourmapr.com/artist/Taake>                                                                                                                | <http://www.w3.org/2002/12/cal/icaltzd#Vevent>    |
| <http://www.tourmapr.com/artist/Taake>                                                                                                                | <http://www.w3.org/2006/vcard/ns#VCard>           |
| <http://www.tourmapr.com/artist/Taake>                                                                                                                | <http://www.w3.org/2006/vcard/ns#Organization>    |
| <http://www.tourmapr.com/artist/Taake>                                                                                                                | <http://www.w3.org/2006/vcard/ns#Name>            |
| <http://www.tourmapr.com/artist/Taake>                                                                                                                | <http://www.w3.org/2006/vcard/ns#Location>        |
| <http://www.easytobook.com/en/france/loire-atlantique/nantes/l-hotel-9324/>                                                                           | <http://www.w3.org/2006/vcard/ns#Address>         |
| <http://www.easytobook.com/en/france/loire-atlantique/nantes/l-hotel-9324/>                                                                           | <http://data-vocabulary.org/Breadcrumb>           |
| <http://www.easytobook.com/en/france/loire-atlantique/nantes/l-hotel-9324/>                                                                           | <http://www.w3.org/2006/vcard/ns#VCard>           |
| <http://www.easytobook.com/en/france/loire-atlantique/nantes/l-hotel-9324/>                                                                           | <http://www.w3.org/2006/vcard/ns#Location>        |
| <http://www.easytobook.com/en/france/loire-atlantique/nantes/l-hotel-9324/>                                                                           | <http://www.w3.org/2006/vcard/ns#Organization>    |
| <http://www.easytobook.com/en/france/loire-atlantique/nantes/l-hotel-9324/>                                                                           | <http://www.w3.org/2006/vcard/ns#Name>            |
| <http://www.easytobook.com/en/france/loire-atlantique/nantes/residence-stud-inn-11612/>                                                               | <http://www.w3.org/2006/vcard/ns#Address>         |
