-----------------------------------------------------------------------------------------------------------------------------------------------------------------
| g                                                                                                                                                     | count |
| <http://www.chezmonveto.com/fiche-cabinet-veterinaire-vallet-102864.html>                                                                             | 8     |
| <http://fr.nomao.com/41673088.html>                                                                                                                   | 33    |
| <http://www.slideshare.net/MohammedAggabi>                                                                                                            | 24    |
| <http://www.kappastore.fr/index.php>                                                                                                                  | 149   |
| <http://www.slideshare.net/FGRibreau>                                                                                                                 | 24    |
| <http://www.touristlink.com/france/salonsce-nantes/overview.html>                                                                                     | 60    |
| <http://www.acquia.com/fr/partners/showcase/smile>                                                                                                    | 34    |
| <https://www.annuairetel247.com/lambert-jean-claude-mouzeil-la-petite-fournerie>                                                                      | 13    |
| <http://www.europejazz.net/jazz-pages/agencies/nemo-artist-booking-and-management>                                                                    | 31    |
| <http://fr.nomao.com/860196.html>                                                                                                                     | 5     |
| <http://fr.nomao.com/1715469.html>                                                                                                                    | 39    |
| <http://www.slideshare.net/evy32000>                                                                                                                  | 11    |
| <https://www.acquia.com/partners/showcase/smile>                                                                                                      | 9     |
| <http://www.touristlink.com/france/pays-de-la-loire.html>                                                                                             | 60    |
| <http://fr.nomao.com/15620126.html>                                                                                                                   | 5     |
| <http://hypnose-ericksonienne.fr/categorie/psychotherapeute/421>                                                                                      | 121   |
| <http://fr.nomao.com/10641300.html>                                                                                                                   | 5     |
| <http://www.qivivo.com/>                                                                                                                              | 16    |
| <http://www.easytobook.com/en/france/loire-atlantique/nantes/appart-city-nantes-chateau-59625/>                                                       | 76    |
| <http://www.slideshare.net/smobile>                                                                                                                   | 26    |
| <http://www.easytobook.com/en/france/loire-atlantique/nantes/appart-city-cap-affaires-le-sanitat-62372/?amu=280822597&currency=AUD>                   | 41    |
| <http://fr.nomao.com/4889638.html>                                                                                                                    | 5     |
| <http://www.ticketsinventory.com/venue/parc-des-princes/>                                                                                             | 381   |
| <http://fr.nomao.com/41531528.html>                                                                                                                   | 23    |
| <http://www.slideshare.net/LECAIRN4IT>                                                                                                                | 29    |
| <http://www.slideshare.net/Mariehel2>                                                                                                                 | 14    |
| <http://fr.nomao.com/361759.html>                                                                                                                     | 36    |
| <http://www.ticketsinventory.com/soccer/paris-saint-germain-fc-tickets/>                                                                              | 261   |
| <http://fr.nomao.com/12873299.html>                                                                                                                   | 4     |
| <http://www.grassrootsfeminism.net/cms/taxonomy/term/120?page=10>                                                                                     | 116   |
| <http://www.europejazz.net/jazz-pages/agencies/wanbliprod>                                                                                            | 25    |
| <http://www.easytobook.com/en/france/loire-atlantique/la-baule/alcyon-58715/?amu=280822281>                                                           | 41    |
| <http://www.wik-nantes.fr/nantes/1/scene/suffocationcephalic-carnagehavokfallujah>                                                                    | 8     |
| <http://decheteries.solugeo.fr/glossary?order=title&sort=asc&page=42>                                                                                 | 180   |
| <http://www.easytobook.com/en/france/loire-atlantique/la-baule/adonis-la-baule-191902/?amu=280822687>                                                 | 41    |
| <http://fr.nomao.com/15640361.html>                                                                                                                   | 2     |
| <http://hudson.fr/fr-fr/hudson-ouest-atlantique>                                                                                                      | 17    |
| <http://www.royal-de-luxe.com/fr/>                                                                                                                    | 12    |
| <http://www.tourmapr.com/artist/Taake>                                                                                                                | 59    |
| <http://www.ticketnetwork.com/tickets/paris-saint-germain-fc-tickets.aspx>                                                                            | 443   |
| <http://fr.nomao.com/4749226.html>                                                                                                                    | 39    |
| <http://www.labelsandlabeling.com/suppliers/a?tid_op=or&tid=113&title_1=&field_country_value=or&country=All&keys=>                                    | 270   |
| <http://www.touristlink.com/france/orvault/overview.html>                                                                                             | 6     |
| <http://fr.nomao.com/4702229.html>                                                                                                                    | 40    |
| <https://www.annuairetel247.com/savary-catherine-trignac-chem-noir>                                                                                   | 13    |
| <http://www.tourmapr.com/artist/Heidevolk>                                                                                                            | 41    |
| <http://www.qivivo.com/qivivo-thermostat>                                                                                                             | 25    |
| <http://www.europejazz.net/jazz-pages/festival/nuit-du-jazz>                                                                                          | 28    |
| <http://www.ticketnetwork.com/venues/parc-des-princes-tickets.aspx?vid=4641>                                                                          | 382   |
| <http://fr.nomao.com/812110.html>                                                                                                                     | 44    |
| <http://fr.nomao.com/1387830.html>                                                                                                                    | 5     |
| <http://fr.nomao.com/5135368.html>                                                                                                                    | 31    |
| <http://fr.nomao.com/10813487.html>                                                                                                                   | 5     |
| <http://www-subatech.in2p3.fr/fr/>                                                                                                                    | 53    |
| <http://www.easytobook.com/en/france/loire-atlantique/nantes/la-perouse-9325/>                                                                        | 20    |
| <https://simple.wikipedia.org/wiki/Institut_sup%C3%A9rieur_europ%C3%A9en_de_formation_par_l%27action>                                                 | 16    |
| <http://www.slideshare.net/Synodiance>                                                                                                                | 22    |
| <http://www.easytobook.com/en/france/loire-atlantique/nantes/residence-stud-inn-11612/>                                                               | 34    |
| <http://fr.nomao.com/12876741.html>                                                                                                                   | 23    |
| <http://fr.nomao.com/10552436.html>                                                                                                                   | 43    |
| <http://www.labelsandlabeling.com/suppliers/m?tid_op=or&tid=113&title_1=&field_country_value=or&country=All&keys=>                                    | 81    |
| <http://fr.nomao.com/63930948.html>                                                                                                                   | 35    |
| <http://fr.nomao.com/12375357.html>                                                                                                                   | 39    |
| <http://kevin-p.cv.fm/fr/>                                                                                                                            | 41    |
| <http://hypnose-ericksonienne.fr/categorie/hypnose-medicale/448>                                                                                      | 24    |
| <http://fr.nomao.com/4813199.html>                                                                                                                    | 44    |
| <http://www.touristlink.com/france/cat/local-interests.html>                                                                                          | 129   |
| <http://fr.nomao.com/1209516.html>                                                                                                                    | 39    |
| <http://www.slideshare.net/alexlolone>                                                                                                                | 12    |
| <http://www.ticketnetwork.com/tickets/disney-on-ice-tickets.aspx?page=3>                                                                              | 1002  |
| <http://terraform.fr/insitu/les-jardins-passagers/>                                                                                                   | 16    |
| <http://fr.nomao.com/4825283.html>                                                                                                                    | 4     |
| <https://www.pitchup.com/campsites/france/pays-de-la-loire/loire-atlantique/pornic/camping-le-patisseau/?type=10>                                     | 9     |
| <http://www.actu-lan.com/calendrier.html>                                                                                                             | 2356  |
| <http://www.ticketnetwork.com/tickets/disney-on-ice-tickets.aspx?page=2>                                                                              | 501   |
| <https://www.pitchup.com/campsites/france/pays-de-la-loire/loire-atlantique/prefailles/camping-eleovic/?type=10>                                      | 60    |
| <http://le-portail.com/categorie/hypnose-ericksonienne/433>                                                                                           | 152   |
| <http://www.easytobook.com/en/france/loire-atlantique/nantes/best-western-hotel-de-la-regate-52337/>                                                  | 48    |
| <http://www.cmigroupe.com/en/p/acid-regeneration-plants>                                                                                              | 109   |
| <http://fr.nomao.com/15479777.html>                                                                                                                   | 4     |
| <http://fr.nomao.com/41308494.html>                                                                                                                   | 5     |
| <http://www.lectra.com/en/global-network>                                                                                                             | 2479  |
| <http://loire-atlantique.mopimmo.com/le-pouliguen/agence-25402.htm>                                                                                   | 16    |
| <http://fr.nomao.com/362380.html>                                                                                                                     | 5     |
| <http://www.epilogue.net/profile/lodgraph>                                                                                                            | 7     |
| <http://fr.nomao.com/15246185.html>                                                                                                                   | 42    |
| <http://www.speed-burger.com/livraison-hamburger/>                                                                                                    | 1400  |
| <http://www.last.fm/label/Thunderstruck/events>                                                                                                       | 375   |
| <http://fr.nomao.com/15239579.html>                                                                                                                   | 35    |
| <http://www.ticketnetwork.com/ticket/disney-on-ice-events.aspx?page=3>                                                                                | 1002  |
| <http://fr.nomao.com/4494452.html>                                                                                                                    | 3     |
| <http://fr.nomao.com/15620157.html>                                                                                                                   | 5     |
| <https://zh.wikipedia.org/wiki/Epitech>                                                                                                               | 18    |
| <https://www.pitchup.com/campsites/france/pays-de-la-loire/loire-atlantique/guerande/camping-le-panorama/?type=13>                                    | 9     |
| <http://fr.nomao.com/12888509.html>                                                                                                                   | 5     |
| <http://fr.nomao.com/1937614.html>                                                                                                                    | 28    |
| <http://fr.nomao.com/4710053.html>                                                                                                                    | 41    |
| <http://fr.nomao.com/1718857.html>                                                                                                                    | 31    |
| <http://www.easytobook.com/en/france/loire-atlantique/nantes/de-pommeraye-9334/?amu=2582051301>                                                       | 41    |
| <http://www.last.fm/label/Baeble+Media+LLC/events>                                                                                                    | 456   |
| <http://www.acquia.com/partners/showcase/smile>                                                                                                       | 34    |
| <http://www.invista.com/en/inside-invista/global-locations-map.html>                                                                                  | 1002  |
| <http://www.slideshare.net/GregoryCousin>                                                                                                             | 21    |
| <http://hypnose-ericksonienne.fr/categorie/therapies-breves/509>                                                                                      | 42    |
| <http://fr.nomao.com/362234.html>                                                                                                                     | 5     |
| <http://www.slideshare.net/vinz4456>                                                                                                                  | 21    |
| <http://fr.nomao.com/2063539.html>                                                                                                                    | 5     |
| <http://fr.nomao.com/4492978.html>                                                                                                                    | 41    |
| <http://www.easytobook.com/en/france/loire-atlantique/nantes/mercure-nantes-centre-gare-87895/?amu=2582051301>                                        | 28    |
| <http://www.touristlink.com/france/cat/hotels.html>                                                                                                   | 297   |
