-------------------------------------------------------------------------------------------------------------------------------------------------------
| g                                                                                                                  | country                | count |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Latvia"               | 1     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Russia"               | 11    |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Vietnam"              | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Malawi"               | 2     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Malaisie"             | 1     |
| <http://www.setlist.fm/setlists/while-she-sleeps-13d571e9.html>                                                    | "Germany"              | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Tanzania"             | 4     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Lituanie"             | 1     |
| <http://www.last.fm/fr/label/Luaka+Bop/events?setlang=fr>                                                          | "Allemagne"            | 3     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Australia"            | 2     |
| <http://www.setlist.fm/setlists/villagers-6bd58a8a.html>                                                           | "Northern Ireland"     | 1     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Danemark"             | 1     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Czech Republic"       | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Belgium"              | 7     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Senegal"              | 1     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Luxembourg"           | 1     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "New Zealand"          | 2     |
| <http://www.labelsandlabeling.com/suppliers?companyid=1331>                                                        | "United Kingdom"       | 4     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Croatia"              | 3     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Chad"                 | 1     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Canada"               | 2     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Finlande"             | 1     |
| <http://www.erickson-foundation.org/institutes/>                                                                   | "Belgium"              | 2     |
| <http://www.labelsandlabeling.com/suppliers>                                                                       | "Germany"              | 2     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Portugal"             | 2     |
| <http://www.labelsandlabeling.com/suppliers>                                                                       | "United States"        | 7     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Lithuania"            | 1     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Bulgarie"             | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Mauritius"            | 2     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Mexique"              | 1     |
| <http://www.setlist.fm/setlists/hans-zimmer-73d6b675.html>                                                         | "England"              | 2     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Indonesia"            | 1     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Roumanie"             | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Malaysia"             | 5     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "United Arab Emirates" | 1     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Ivory Coast"          | 1     |
