-----------------------------------------------------------------------------
| p                                                                 | count |
| <http://www.w3.org/2002/12/cal/icaltzd#url>                       | 482   |
| <http://schema.org/Person/image>                                  | 16    |
| <http://schema.org/latitude>                                      | 1     |
| <http://schema.org/Continent/name>                                | 1     |
| <http://schema.org/AutomotiveBusiness/logo>                       | 3     |
| <http://schema.org/PostalAddress/streetAddress>                   | 128   |
| <http://purl.org/stuff/rev#title>                                 | 1     |
| <http://schema.org/ImageObject/contentURL>                        | 21    |
| <http://schema.org/Landform/name>                                 | 1     |
| <http://schema.org/StadiumOrArena/image>                          | 1     |
| <http://schema.org/LodgingBusiness/geo>                           | 4     |
| <http://schema.org/State/name>                                    | 5     |
| <http://schema.org/Museum/additionalType>                         | 2     |
| <http://schema.org/Country/image>                                 | 52    |
| foaf:name                                                         | 1     |
| <http://schema.org/TouristAttraction/address>                     | 4     |
| <http://www.w3.org/2006/vcard/ns#adr>                             | 1574  |
| <http://rdf.data-vocabulary.org/#title>                           | 12    |
| <http://www.w3.org/2006/vcard/ns#bday>                            | 1     |
| <http://schema.org/BarOrPub/name>                                 | 1     |
| <http://www.w3.org/2006/vcard/ns#logo>                            | 4     |
| <http://schema.org/Store/logo>                                    | 8     |
| <http://schema.org/Airport/description>                           | 1     |
| <http://schema.org/EducationalOrganization/name>                  | 2     |
| <http://schema.org/LodgingBusiness/address>                       | 4     |
| <http://www.w3.org/2006/vcard/ns#photo>                           | 35    |
| <http://schema.org/AggregateRating/worstRating>                   | 23    |
| <http://schema.org/LocalBusiness/url>                             | 29    |
| <http://schema.org/GeoCoordinates/latitude>                       | 93    |
| <http://schema.org/Country/description>                           | 4     |
| <http://purl.org/stuff/rev#type>                                  | 15    |
| <http://www.facebook.com/2008/fbmlapp_id>                         | 14    |
| <http://schema.org/PostalAddress/addressRegion>                   | 79    |
| <http://www.w3.org/2006/vcard/ns#role>                            | 5     |
| <http://schema.org/LocalBusiness/addressLocality>                 | 4     |
| <http://schema.org/CivicStructure/url>                            | 2     |
| <http://www.w3.org/2006/vcard/ns#fn>                              | 1197  |
| <http://www.w3.org/2006/vcard/ns#street-address>                  | 1132  |
| <http://schema.org/photo>                                         | 1     |
